Posch,https://www.fantacalcio.it/serie-a/squadre/bologna/posch/6066/2022-23/statistico
Meret,https://www.fantacalcio.it/serie-a/squadre/napoli/meret/572/2022-23/statistico
Simeone,https://www.fantacalcio.it/serie-a/squadre/napoli/simeone/2061/2022-23/statistico
Pedro,https://www.fantacalcio.it/serie-a/squadre/lazio/pedro/2489/2022-23/statistico
Provedel,https://www.fantacalcio.it/serie-a/squadre/lazio/provedel/2814/2022-23/statistico
Di Lorenzo,https://www.fantacalcio.it/serie-a/squadre/napoli/di-lorenzo/2816/2022-23/statistico
Baldanzi,https://www.fantacalcio.it/serie-a/squadre/empoli/baldanzi/5823/2022-23/statistico
Bonaventura,https://www.fantacalcio.it/serie-a/squadre/fiorentina/bonaventura/367/2022-23/statistico
Zappacosta,https://www.fantacalcio.it/serie-a/squadre/atalanta/zappacosta/554/2022-23/statistico
Zapata D.,https://www.fantacalcio.it/serie-a/squadre/atalanta/zapata-d/608/2022-23/statistico
Pessina,https://www.fantacalcio.it/serie-a/squadre/monza/pessina/2741/2022-23/statistico
Danilo,https://www.fantacalcio.it/serie-a/squadre/juventus/danilo/4237/2022-23/statistico
Smalling,https://www.fantacalcio.it/serie-a/squadre/roma/smalling/4245/2022-23/statistico
Maignan,https://www.fantacalcio.it/serie-a/squadre/milan/maignan/4312/2022-23/statistico
Tonali,https://www.fantacalcio.it/serie-a/squadre/milan/tonali/4449/2022-23/statistico
Kostic,https://www.fantacalcio.it/serie-a/squadre/juventus/kostic/4711/2022-23/statistico
Ceesay,https://www.fantacalcio.it/serie-a/squadre/lecce/ceesay/5836/2022-23/statistico
Mota,https://www.fantacalcio.it/serie-a/squadre/monza/mota/5882/2022-23/statistico
Brozovic,https://www.fantacalcio.it/serie-a/squadre/inter/brozovic/265/2022-23/statistico
Verdi,https://www.fantacalcio.it/serie-a/squadre/verona/verdi/376/2022-23/statistico
Petagna,https://www.fantacalcio.it/serie-a/squadre/monza/petagna/383/2022-23/statistico
Caprari,https://www.fantacalcio.it/serie-a/squadre/monza/caprari/1958/2022-23/statistico
Chiesa,https://www.fantacalcio.it/serie-a/squadre/juventus/chiesa/2002/2022-23/statistico
Karamoh,https://www.fantacalcio.it/serie-a/squadre/torino/karamoh/2325/2022-23/statistico
Kouame',https://www.fantacalcio.it/serie-a/squadre/fiorentina/kouame/2762/2022-23/statistico
Lobotka,https://www.fantacalcio.it/serie-a/squadre/napoli/lobotka/4287/2022-23/statistico
Fagioli,https://www.fantacalcio.it/serie-a/squadre/juventus/fagioli/4465/2022-23/statistico
Vicario,https://www.fantacalcio.it/serie-a/squadre/empoli/vicario/4964/2022-23/statistico
Molina N.,https://www.fantacalcio.it/serie-a/squadre/udinese/molina-n/4998/2022-23/statistico
Kim,https://www.fantacalcio.it/serie-a/squadre/napoli/kim/5892/2022-23/statistico
Gabbiadini,https://www.fantacalcio.it/serie-a/squadre/sampdoria/gabbiadini/407/2022-23/statistico
Szczesny,https://www.fantacalcio.it/serie-a/squadre/juventus/szczesny/453/2022-23/statistico
Romagnoli,https://www.fantacalcio.it/serie-a/squadre/lazio/romagnoli/460/2022-23/statistico
Sansone,https://www.fantacalcio.it/serie-a/squadre/bologna/sansone/537/2022-23/statistico
Deulofeu,https://www.fantacalcio.it/serie-a/squadre/udinese/deulofeu/2119/2022-23/statistico
Barrow,https://www.fantacalcio.it/serie-a/squadre/bologna/barrow/2719/2022-23/statistico
Hernandez T.,https://www.fantacalcio.it/serie-a/squadre/milan/hernandez-t/4292/2022-23/statistico
Malinovskyi,https://www.fantacalcio.it/serie-a/squadre/atalanta/malinovskyi/4427/2022-23/statistico
Lozano,https://www.fantacalcio.it/serie-a/squadre/napoli/lozano/4517/2022-23/statistico
